Apex_RT,ID,Peak,Area,file
13.53,SPMEn82,21,2693290.029,201103
13.59,SPMEn82,23,320717.563,201103
13.65,SPMEn82,24,3614852.333,201103
13.85,SPMEn82,26,26726324.44,201103
15.99,SPMEn82,36,8592460.023,201103
17.76,SPMEn82,41,1406085.265,201103
6.71,SPMEn83,3,1819425.446,201103
11.39,SPMEn83,12,266876.92,201103
12.06,SPMEn83,14,10744438.792,201103
12.2,SPMEn83,15,20623911.058,201103
12.92,SPMEn83,17,247443031.867,201103
13.07,SPMEn83,18,1044612.355,201103
13.27,SPMEn83,20,6797599.252,201103
13.53,SPMEn83,21,2143248.826,201103
13.6,SPMEn83,23,2452944.371,201103
13.66,SPMEn83,24,7311997.979,201103
13.85,SPMEn83,26,1292008.293,201103
14.09,SPMEn83,27,1058788.501,201103
15.5,SPMEn83,33,211992.61,201103
15.99,SPMEn83,36,1154657.538,201103
16.51,SPMEn83,37,1056631.415,201103
17.76,SPMEn83,41,469916.672,201103
18.04,SPMEn83,43,158809.116,201103
20.91,SPMEn83,46,554764.238,201103
5.95,SPMEn96,2,268202.696,201103
7.05,SPMEn96,4,1449983.044,201103
7.31,SPMEn96,5,98625435.791,201103
10.9,SPMEn96,10,660239.996,201103
11.39,SPMEn96,12,4864471.892,201103
11.46,SPMEn96,13,1414555.164,201103
12.06,SPMEn96,14,1507874.118,201103
12.2,SPMEn96,15,27890503.112,201103
13.06,SPMEn96,18,1235447.872,201103
13.18,SPMEn96,19,304869.572,201103
13.51,SPMEn96,21,7575383.063,201103
13.66,SPMEn96,24,832542.182,201103
13.79,SPMEn96,25,2044655.564,201103
14.08,SPMEn96,27,1084113.446,201103
14.26,SPMEn96,28,2604547.923,201103
14.69,SPMEn96,30,233041.896,201103
15.1,SPMEn96,31,401104.114,201103
15.37,SPMEn96,32,70216.206,201103
15.5,SPMEn96,33,533635.151,201103
15.63,SPMEn96,34,180848.047,201103
16.7,SPMEn96,38,191803.785,201103
16.88,SPMEn96,39,11055739.177,201103
17.58,SPMEn96,40,1173310.432,201103
17.75,SPMEn96,41,499489.311,201103
18.03,SPMEn96,43,134998.95,201103
19.01,SPMEn96,44,16933470.677,201103
19.1,SPMEn96,45,5496111.4,201103
20.91,SPMEn96,46,133792.386,201103
22.13,SPMEn96,47,2446444.927,201103
5.33,SPMEn97,1,69087.05,201103
5.96,SPMEn97,2,639377.788,201103
6.72,SPMEn97,3,1187432.021,201103
7.07,SPMEn97,4,217624.576,201103
7.32,SPMEn97,5,22247833.302,201103
10.9,SPMEn97,10,5827418.541,201103
11.04,SPMEn97,11,784445.792,201103
11.39,SPMEn97,12,3791383.698,201103
11.46,SPMEn97,13,1179459.808,201103
12.2,SPMEn97,15,34179157.395,201103
12.9,SPMEn97,17,196288.321,201103
13.06,SPMEn97,18,6068589.151,201103
13.17,SPMEn97,19,293729.622,201103
13.51,SPMEn97,21,12456985.273,201103
13.66,SPMEn97,24,675800.237,201103
13.79,SPMEn97,25,5196382.649,201103
14.08,SPMEn97,27,351209.912,201103
14.25,SPMEn97,28,6673478.78,201103
14.69,SPMEn97,30,375033.614,201103
15.1,SPMEn97,31,1195884.452,201103
15.5,SPMEn97,33,268963.323,201103
15.63,SPMEn97,34,24034.466,201103
16.7,SPMEn97,38,5074597.439,201103
16.88,SPMEn97,39,5541436.503,201103
17.58,SPMEn97,40,693134.524,201103
18.03,SPMEn97,43,663318.16,201103
19.01,SPMEn97,44,2021745.892,201103
19.1,SPMEn97,45,7158714.47,201103
20.9,SPMEn97,46,193740.788,201103
22.13,SPMEn97,47,3736744.821,201103
5.31,SPMEn98,1,3654525.764,201103
6,SPMEn98,2,448611.493,201103
6.74,SPMEn98,3,25822108.05,201103
7.07,SPMEn98,4,76699.73,201103
7.3,SPMEn98,5,233806.4,201103
11.01,SPMEn98,11,3357098.22,201103
11.37,SPMEn98,12,2302195.882,201103
12.06,SPMEn98,14,154118.336,201103
12.2,SPMEn98,15,839238.929,201103
12.9,SPMEn98,17,720226.262,201103
13.17,SPMEn98,19,911755.469,201103
13.55,SPMEn98,22,2537035.904,201103
13.65,SPMEn98,24,752189.124,201103
13.79,SPMEn98,25,5878186.319,201103
14.08,SPMEn98,27,4262361.433,201103
14.25,SPMEn98,28,13996050.834,201103
14.51,SPMEn98,29,304079.798,201103
14.69,SPMEn98,30,1137603.296,201103
15.1,SPMEn98,31,385948.399,201103
15.37,SPMEn98,32,500733.406,201103
15.5,SPMEn98,33,42590337.18,201103
15.63,SPMEn98,34,8222808.585,201103
15.88,SPMEn98,35,1668114.539,201103
16.7,SPMEn98,38,8305145.903,201103
16.88,SPMEn98,39,78443905.171,201103
17.57,SPMEn98,40,166588.944,201103
17.75,SPMEn98,41,145866.334,201103
18.03,SPMEn98,43,2628822.113,201103
19.1,SPMEn98,45,3477003.761,201103
20.9,SPMEn98,46,307358.873,201103
22.11,SPMEn98,47,522063.967,201103
22.82,SPMEn98,48,7847244.089,201103
5.35,SPMEn99,1,268710.606,201103
5.97,SPMEn99,2,519818.885,201103
6.73,SPMEn99,3,3419298.914,201103
7.32,SPMEn99,5,1208366.73,201103
10.9,SPMEn99,10,904178.433,201103
11.04,SPMEn99,11,1232326.019,201103
11.37,SPMEn99,12,3668529.813,201103
11.46,SPMEn99,13,1210423.264,201103
12.05,SPMEn99,14,561825.31,201103
12.2,SPMEn99,15,4445943.175,201103
13.06,SPMEn99,18,554061.693,201103
13.17,SPMEn99,19,1035112.455,201103
13.26,SPMEn99,20,347410.622,201103
13.51,SPMEn99,21,1482805.095,201103
13.55,SPMEn99,22,902099.27,201103
13.66,SPMEn99,24,1977230.836,201103
13.79,SPMEn99,25,3082994.105,201103
14.08,SPMEn99,27,2003303.375,201103
14.25,SPMEn99,28,6655989.756,201103
14.52,SPMEn99,29,152511.04,201103
14.68,SPMEn99,30,547564.18,201103
15.09,SPMEn99,31,592060.536,201103
15.37,SPMEn99,32,557063.169,201103
